start_time,response_time,success_rate
0,252.89729436238608,100.0
30,180.02415498097739,100.0
60,164.71629937489828,100.0
90,216.61728223164877,100.0
120,183.02098910013834,100.0
150,170.95399697621664,100.0
180,197.82413641611734,100.0
210,195.41727701822916,100.0
240,173.94996484120688,100.0
270,175.25925636291504,100.0
300,148.5346794128418,100.0
330,139.0032688776652,100.0
360,162.3314062754313,100.0
390,208.35458437601724,100.0
420,143.62823168436685,100.0
450,148.16165765126547,100.0
480,143.939741452535,100.0
510,173.66280555725098,100.0
540,148.30730756123862,100.0
570,141.98853174845377,100.0
600,10000.0,0.0
630,3268.3414379755654,70.0
660,272.0908482869466,100.0
690,224.94707107543945,100.0
720,226.5359878540039,100.0
750,276.7604509989421,100.0
780,227.13696161905924,100.0
810,276.02312564849854,100.0
840,286.20328108469647,100.0
870,270.22426923116046,100.0
900,270.7422812779744,100.0
930,176.29780769348145,100.0
960,184.73172982533774,100.0
990,157.56970246632895,100.0
1020,153.15545399983725,100.0
1050,143.81751219431558,100.0
1080,160.6260061264038,100.0
1110,161.09370390574136,100.0
1140,151.48440996805826,100.0
1170,152.64764626820883,100.0
1200,1782.6980034510295,83.33333333333334
1230,193.13788414001465,100.0
1260,166.90526008605957,100.0
1290,144.4773276646932,100.0
1320,169.2954937616984,100.0
1350,165.62499205271402,100.0
1380,155.00079790751138,100.0
1410,142.339555422465,100.0
1440,204.9446980158488,100.0
1470,197.545059521993,100.0
1500,136.48011684417725,100.0
1530,149.92725054423013,100.0
1560,139.57823912302652,100.0
1590,141.87674522399902,100.0
1620,139.80887730916342,100.0
1650,141.92793369293213,100.0
1680,142.93270111083984,100.0
1710,147.27512995402017,100.0
1740,112.80538241068523,100.0
1770,484.39682324727374,96.66666666666667
1800,6278.190390268962,40.0
1830,1117.0958836873372,90.0
1860,479.8537651697795,96.66666666666667
1890,2163.3816242218018,83.33333333333334
1920,1308.9727799097698,90.0
1950,146.3268756866455,100.0
1980,219.65339183807373,100.0
2010,163.32925160725912,100.0
2040,152.45609283447266,100.0
2070,130.16204833984375,100.0
2100,281.0477097829183,100.0
2130,172.9581356048584,100.0
2160,174.48019981384277,100.0
2190,154.70282236735025,100.0
2220,163.22705745697021,100.0
2250,182.8136364618937,100.0
2280,157.93608029683432,100.0
2310,163.0366643269857,100.0
2340,182.55681991577148,100.0
2370,141.39782587687174,100.0
