start_time,response_time,success_rate
0,386.96162700653076,100.0
30,348.15534114837646,100.0
60,300.76910972595215,100.0
90,341.4925003051758,100.0
120,349.43342208862305,100.0
150,327.2500276565552,100.0
180,345.0242853164673,100.0
210,315.5380392074585,100.0
240,259.09470558166504,100.0
270,258.1666612625122,100.0
300,242.9802942276001,100.0
330,317.93574810028076,100.0
360,299.8932647705078,100.0
390,306.2269401550293,100.0
420,311.3957118988037,100.0
450,356.0480308532715,100.0
480,328.24950218200684,100.0
510,356.5441846847534,100.0
540,231.3719606399536,100.0
570,195.43827056884766,100.0
600,5689.411187171936,44.0
630,5329.6770668029785,48.0
660,4191.937232017517,60.0
690,2811.8355751037598,74.0
720,2814.837713241577,74.0
750,2461.3035106658936,78.0
780,1678.2072401046753,86.0
810,1232.4290370941162,90.0
840,1228.248529434204,90.0
870,1589.6429824829102,86.0
900,461.3490104675293,98.0
930,250.0648069381714,100.0
960,240.43832778930664,100.0
990,246.83231830596924,100.0
1020,255.22860050201416,100.0
1050,264.9765396118164,100.0
1080,217.31247901916504,100.0
1110,212.2600793838501,100.0
1140,186.05562210083008,100.0
1170,236.45552158355713,100.0
1200,1595.844693183899,86.0
1230,1610.197229385376,86.0
1260,2754.3208599090576,74.0
1290,1974.0388202667236,82.0
1320,2323.1168365478516,78.0
1350,2521.500277519226,76.0
1380,1755.1889419555664,84.0
1410,2742.5531339645386,74.0
1440,1747.0727157592773,84.0
1470,1744.2121315002441,84.0
1500,384.749493598938,98.0
1530,184.41558837890625,100.0
1560,177.53092288970947,100.0
1590,202.41260528564453,100.0
1620,189.33785438537598,100.0
1650,213.20698261260986,100.0
1680,187.9869556427002,100.0
1710,184.77941036224365,100.0
1740,190.5093002319336,100.0
1770,820.9707117080688,96.0
1800,7229.158630371094,30.0
1830,6956.237897872925,34.0
1860,6702.711048126221,36.0
1890,6489.640402793884,38.0
1920,7715.756549835205,26.0
1950,6329.57453250885,40.0
1980,7386.632790565491,28.000000000000004
2010,7016.832065582275,32.0
2040,5976.069931983948,44.0
2070,7087.887377738953,44.0
2100,305.19360542297363,100.0
2130,185.7220220565796,100.0
2160,182.2708225250244,100.0
2190,209.69841957092285,100.0
2220,194.59378719329834,100.0
2250,214.01105403900146,100.0
2280,185.26787757873535,100.0
2310,183.76972198486328,100.0
2340,171.55450344085693,100.0
2370,184.88181591033936,100.0
