start_time,response_time,success_rate
0,200.68187713623047,100.0
30,166.3792324066162,100.0
60,177.34228610992432,100.0
90,139.45557594299316,100.0
120,150.89625358581543,100.0
150,153.6195421218872,100.0
180,144.32193279266357,100.0
210,142.8087615966797,100.0
240,140.57783126831055,100.0
270,147.1936321258545,100.0
300,174.1877841949463,100.0
330,144.43983554840088,100.0
360,166.6197395324707,100.0
390,151.88777923583984,100.0
420,164.864764213562,100.0
450,143.38223934173584,100.0
480,149.1475009918213,100.0
510,144.4446325302124,100.0
540,125.18758296966553,100.0
570,144.2198610305786,100.0
600,2703.7906789779663,74.0
630,1750.1166582107544,84.0
660,1508.724193572998,86.0
690,2525.753617286682,76.0
720,2088.6682844161987,80.0
750,2504.834704399109,76.0
780,1927.7115631103516,82.0
810,1926.7090511322021,82.0
840,1750.4717063903809,84.0
870,1341.5092420578003,88.0
900,735.3541088104248,94.0
930,124.49443817138672,100.0
960,124.7953462600708,100.0
990,122.35380172729492,100.0
1020,116.55878067016602,100.0
1050,103.08101654052734,100.0
1080,102.44235038757324,100.0
1110,123.09041976928711,100.0
1140,135.4593563079834,100.0
1170,151.08637809753418,100.0
1200,4875.000681877136,52.0
1230,4269.802222251892,57.99999999999999
1260,2483.947377204895,76.0
1290,4266.816716194153,57.99999999999999
1320,4271.131992340088,57.99999999999999
1350,3673.039631843567,64.0
1380,4060.10901927948,60.0
1410,3483.37562084198,66.0
1440,3075.014190673828,70.0
1470,3531.3950777053833,68.0
1500,5116.308555603027,98.0
1530,8084.004535675049,68.0
1560,9210.825548171997,42.0
1590,9533.374562263489,28.000000000000004
1620,9623.472728729248,24.0
1650,9814.204025268555,16.0
1680,9726.702394485474,16.0
1710,9662.051482200623,22.0
1740,9719.426250457764,26.0
1770,9645.479679107666,20.0
