time,NIFL-GTGA,NIFL,Nautilus,LC,round-robin,NIFL-GTGA,NIFL,Nautilus,LC,round-robin
0.0,270.3877019882202,201.08202457427979,381.24945163726807,223.0302381515503,229.59012508392334,100.0,100.0,100.0,100.0,100.0
2.5,136.84340953826904,170.23291110992432,329.991135597229,200.65391540527344,217.20043659210205,100.0,100.0,100.0,100.0,100.0
5.0,161.24656677246094,164.85061168670654,269.3395233154297,235.75090885162354,242.6948642730713,100.0,100.0,100.0,100.0,100.0
7.5,134.5226001739502,146.03388786315918,361.5326690673828,189.3512725830078,245.62975883483887,100.0,100.0,100.0,100.0,100.0
9.5,147.99182415008545,363.53429794311523,183.11703205108643,190.84205150604248,210.4909324645996,100.0,98.0,100.0,100.0,100.0
10.5,1028.15016746521,2425.44349193573,3752.3280000686646,4502.553939819336,4521.295428276062,92.0,78.0,64.0,56.00000000000001,56.00000000000001
11.5,216.59358024597168,280.95096588134766,3180.949034690857,4304.457216262817,5106.501879692078,100.0,100.0,70.0,57.99999999999999,50.0
12.5,283.75192642211914,381.3202953338623,1826.6821098327637,4902.898859977722,4927.454047203064,100.0,100.0,84.0,52.0,52.0
13.5,242.98031330108643,240.9599208831787,1035.349235534668,4307.534747123718,4526.001329421997,100.0,100.0,92.0,57.99999999999999,56.00000000000001
14.5,264.09934997558594,350.51608085632324,1399.8521900177002,3914.2593812942505,3722.483024597168,100.0,100.0,88.0,62.0,64.0
15.5,134.10491466522217,215.07463932037354,217.13660717010498,197.00664043426514,219.02868747711182,100.0,100.0,100.0,100.0,100.0
17.5,117.85937309265137,167.40686893463135,244.40273761749268,178.10609817504883,202.10834980010986,100.0,100.0,100.0,100.0,100.0
19.5,114.23912525177002,147.92681694030762,416.763973236084,166.52193069458008,391.92145347595215,100.0,100.0,98.0,100.0,98.0
20.5,119.23628330230713,136.95285320281982,2147.9442977905273,1151.8721628189087,1952.4196767807007,100.0,100.0,80.0,90.0,82.0
21.5,116.13875389099121,302.82986640930176,1357.688856124878,2128.413348197937,1948.484148979187,100.0,100.0,88.0,80.0,82.0
22.5,115.59918403625488,123.07655811309814,2527.4249362945557,1732.0315170288086,1546.8451499938965,100.0,100.0,76.0,84.0,86.0
23.5,113.06413173675537,138.09037685394287,1170.219693183899,2517.585597038269,2133.592462539673,100.0,100.0,90.0,76.0,80.0
24.5,111.30503177642822,167.94618606567383,1361.1424255371094,1326.9234943389893,2209.344062805176,100.0,100.0,88.0,88.0,80.0
25.5,107.41387367248535,172.7798366546631,193.69877815246582,169.9680233001709,180.09652137756348,100.0,100.0,100.0,100.0,100.0
27.5,119.0920639038086,215.30003547668457,232.97600746154785,155.3643035888672,201.17619037628174,100.0,100.0,100.0,100.0,100.0
29.5,597.3094367980957,546.6588497161865,593.7398910522461,751.7056798934937,964.2447519302368,96.0,96.0,96.0,94.0,92.0
30.5,1199.7317838668823,2746.1059522628784,6461.511631011963,5860.427360534668,7049.665751457214,90.0,74.0,36.0,42.0,30.0
31.5,1328.1037902832031,1553.8033437728882,5675.329990386963,7248.11803817749,7443.072562217712,88.0,86.0,44.0,28.000000000000004,26.0
32.5,814.4161462783813,2160.274705886841,8234.809036254883,8223.32377910614,6845.336408615112,96.0,80.0,18.0,18.0,32.0
33.5,797.2929191589355,3742.1673250198364,7249.943675994873,6852.858529090881,6857.465858459473,94.0,64.0,28.000000000000004,32.0,32.0
34.5,1119.9568128585815,2733.8981771469116,5932.533459663391,7869.864702224731,5254.580736160278,98.0,76.0,48.0,32.0,57.99999999999999
35.5,96.86542510986328,120.0758171081543,188.09935569763184,166.54946327209473,184.4209337234497,100.0,100.0,100.0,100.0,100.0
37.5,89.7859239578247,178.2474422454834,220.69836139678955,160.7465124130249,176.23578548431396,100.0,100.0,100.0,100.0,100.0
39.5,86.68112277984619,133.5956859588623,196.19033813476562,153.85658740997314,165.77831745147705,100.0,100.0,100.0,100.0,100.0
