start_time,response_time,success_rate
0,97.24789619445801,100.0
30,86.23631715774536,100.0
60,74.54882621765137,100.0
90,71.7563796043396,100.0
120,70.65409183502197,100.0
150,71.26015186309814,100.0
180,71.97013854980469,100.0
210,70.56118965148926,100.0
240,72.31871843338013,100.0
270,73.05333852767944,100.0
300,68.82914066314697,100.0
330,67.65505790710449,100.0
360,76.4969277381897,100.0
390,74.76186990737915,100.0
420,71.34669065475464,100.0
450,82.13088750839233,100.0
480,70.33807754516602,100.0
510,71.86382532119751,100.0
540,69.62403535842896,100.0
570,76.6493821144104,100.0
600,1858.5739588737488,82.0
630,1953.2621717453003,81.0
660,2055.478410720825,80.0
690,1859.577202796936,82.0
720,1167.4623489379883,89.0
750,1468.8392233848572,86.0
780,2160.9229230880737,79.0
810,1562.8979468345642,85.0
840,1558.7302803993225,85.0
870,1676.6072130203247,84.0
900,171.5635371208191,99.0
930,71.74425601959229,100.0
960,73.38939428329468,100.0
990,85.19264698028564,100.0
1020,72.84466028213501,100.0
1050,69.3354845046997,100.0
1080,67.57264375686646,100.0
1110,70.93852043151855,100.0
1140,71.16940259933472,100.0
1170,465.04478931427,96.0
1200,4537.046928405762,55.00000000000001
1230,4342.867116928101,56.99999999999999
1260,4441.3601994514465,56.00000000000001
1290,5131.087114810944,49.0
1320,4243.083810806274,57.99999999999999
1350,4541.638131141663,55.00000000000001
1380,4539.875378608704,55.00000000000001
1410,4937.116813659668,51.0
1440,4342.170886993408,56.99999999999999
1470,3962.7666115760803,61.0
1500,77.88123846054077,100.0
1530,74.48653221130371,100.0
1560,76.17974519729614,100.0
1590,70.05748748779297,100.0
1620,72.22734451293945,100.0
1650,75.19814014434814,100.0
1680,77.2283124923706,100.0
1710,76.11236572265625,100.0
1740,76.94256544113159,100.0
1770,1237.8734731674194,92.0
1800,2822.377336025238,78.0
1830,2756.9426798820496,79.0
1860,2201.7196798324585,83.0
1890,2865.3295969963074,77.0
1920,2499.608209133148,80.0
1950,2402.093150615692,81.0
1980,2674.360601902008,80.0
2010,2710.3013491630554,78.0
2040,2091.5827918052673,83.0
2070,2190.2223420143127,90.0
2100,75.6187391281128,100.0
2130,75.0755500793457,100.0
2160,72.64385461807251,100.0
2190,79.83067274093628,100.0
2220,75.5325698852539,100.0
2250,78.28897714614868,100.0
2280,78.94236326217651,100.0
2310,79.13939952850342,100.0
2340,75.7313323020935,100.0
2370,73.88733625411987,100.0
