start_time,response_time,success_rate
0,79.16486024856567,100.0
30,83.38083267211914,100.0
60,78.20690870285034,100.0
90,68.90259027481079,100.0
120,71.98374271392822,100.0
150,66.05600595474243,100.0
180,61.75542116165161,100.0
210,61.369690895080566,100.0
240,64.13975477218628,100.0
270,63.322269916534424,100.0
300,64.33191299438477,100.0
330,64.09736394882202,100.0
360,81.36376857757568,100.0
390,74.16967391967773,100.0
420,75.97413301467896,100.0
450,74.4098448753357,100.0
480,70.17823696136475,100.0
510,62.3369574546814,100.0
540,60.591909885406494,100.0
570,159.90281343460083,99.0
600,1147.8799772262573,89.0
630,1643.0592370033264,84.0
660,1043.5071539878845,90.0
690,1346.2488770484924,87.0
720,952.9437708854675,91.0
750,1150.4875087738037,89.0
780,1146.0502529144287,89.0
810,1350.980257987976,87.0
840,1250.3769326210022,88.0
870,1144.668505191803,89.0
900,256.1759638786316,98.0
930,57.27429389953613,100.0
960,56.9160270690918,100.0
990,53.50445032119751,100.0
1020,56.10323190689087,100.0
1050,53.11267614364624,100.0
1080,57.24973201751709,100.0
1110,66.55240774154663,100.0
1140,69.34359312057495,100.0
1170,463.291118144989,96.0
1200,3541.5842938423157,65.0
1230,3145.572476387024,69.0
1260,4236.887421607971,57.99999999999999
1290,3940.214674472809,61.0
1320,3642.0905900001526,64.0
1350,3737.8467869758606,63.0
1380,3641.7913222312927,64.0
1410,4237.546877861023,57.99999999999999
1440,3940.5521941184998,61.0
1470,3573.456518650055,67.0
1500,1901.2310481071472,100.0
1530,3267.2682976722717,100.0
1560,4244.482359886169,100.0
1590,4463.767259120941,100.0
1620,5223.30286026001,100.0
1650,5820.173082351685,99.0
1680,5609.586162567139,100.0
1710,5570.836606025696,100.0
1740,5592.133753299713,100.0
1770,5323.117804527283,100.0
