start_time,response_time,success_rate
0,400.80664952596027,100.0
30,449.6996879577637,100.0
60,381.04791111416284,100.0
90,369.07693015204535,100.0
120,370.66306008232965,100.0
150,325.4207770029704,100.0
180,367.66819953918457,100.0
210,324.58522054884173,100.0
240,335.6472810109456,100.0
270,370.51636907789447,100.0
300,358.35768911573626,100.0
330,260.80990897284613,100.0
360,337.5533156924778,100.0
390,339.12118275960285,100.0
420,340.5406369103326,100.0
450,329.55988778008356,100.0
480,284.9378003014458,100.0
510,302.89393530951605,100.0
540,319.40991083780926,100.0
570,368.49294238620337,100.0
600,5044.959497451782,51.111111111111114
630,6353.846846686469,37.77777777777778
660,2287.5637902153862,80.0
690,2488.5200341542563,77.77777777777777
720,2263.8615078396265,80.0
750,3146.7370298173696,71.1111111111111
780,1205.5154747433132,91.1111111111111
810,1442.8323480818008,88.8888888888889
840,1228.1616634792751,91.1111111111111
870,403.39232550726996,100.0
900,345.44490178426105,100.0
930,318.9799361758762,100.0
960,375.61980353461377,100.0
990,320.4094621870253,100.0
1020,353.07055579291455,100.0
1050,327.74172359042694,100.0
1080,341.31858613755963,100.0
1110,349.92977778116864,100.0
1140,323.7200419108073,100.0
1170,325.49760606553826,100.0
1200,1520.8495299021404,86.66666666666667
1230,2252.480702930027,80.0
1260,1767.3245271046956,84.44444444444444
1290,1523.1840186648897,86.66666666666667
1320,2842.7158885531953,73.33333333333333
1350,1124.9573548634846,91.1111111111111
1380,890.0660355885824,93.33333333333333
1410,1367.3255019717744,88.8888888888889
1440,1952.3325549231638,82.22222222222223
1470,1358.509047826131,88.88888888888887
1500,501.68445375230584,97.77777777777777
1530,348.8085163964165,100.0
1560,270.9750864240859,100.0
1590,287.39895820617676,100.0
1620,313.2432460784912,100.0
1650,298.8967047797309,100.0
1680,273.6051188574897,100.0
1710,305.8404604593913,100.0
1740,294.52781677246094,100.0
1770,266.0655445522732,100.0
1800,6710.231945249769,53.333333333333336
1830,5950.909190707737,55.55555555555555
1860,6522.586033079359,48.888888888888886
1890,5626.175705591838,55.55555555555555
1920,5653.659396701388,53.333333333333336
1950,5805.504189597236,53.333333333333336
1980,6040.431006749471,53.333333333333336
2010,6239.671399858263,51.11111111111111
2040,6866.865465376111,42.22222222222222
2070,6341.691976123385,55.55555555555555
2100,497.38587803310816,100.0
2130,220.95849249098038,100.0
2160,248.70115915934244,100.0
2190,254.14287249247232,100.0
2220,292.32412974039715,100.0
2250,224.67196782430014,100.0
2280,220.1469527350532,100.0
2310,248.452721701728,100.0
2340,229.51942019992404,100.0
2370,291.3311746385362,100.0
