start_time,response_time,success_rate
0,402.53467559814453,100.0
30,451.11643473307294,100.0
60,399.00360107421875,100.0
90,349.8142083485921,100.0
120,350.03167788187665,100.0
150,324.41097895304364,100.0
180,373.3849048614502,100.0
210,318.04908116658527,100.0
240,326.1496225992839,100.0
270,370.568052927653,100.0
300,386.74132029215497,100.0
330,249.7061570485433,100.0
360,349.95617866516113,100.0
390,333.6177349090576,100.0
420,321.52268091837567,100.0
450,345.75293858846027,100.0
480,307.4929078420003,100.0
510,304.75414594014484,100.0
540,339.0387376149495,100.0
570,403.11365127563477,100.0
600,4823.117351531982,53.333333333333336
630,6146.357425053914,40.0
660,1639.0272458394368,86.66666666666667
690,2947.699244817098,73.33333333333333
720,2278.868309656779,80.0
750,3588.465325037638,66.66666666666666
780,972.1922079722086,93.33333333333333
810,1683.353583017985,86.66666666666667
840,1671.8864917755127,86.66666666666667
870,414.39658800760907,100.0
900,345.71178754170734,100.0
930,344.08733050028485,100.0
960,377.305269241333,100.0
990,320.68800926208496,100.0
1020,377.0205656687419,100.0
1050,315.3149922688802,100.0
1080,323.0806827545166,100.0
1110,339.0141487121582,100.0
1140,330.2503267923991,100.0
1170,313.0230903625488,100.0
1200,2186.9834740956626,80.0
1230,2253.52996190389,80.0
1260,884.5142841339111,93.33333333333333
1290,884.2636744181315,93.33333333333333
1320,2199.676243464152,80.0
1350,925.6684144337972,93.33333333333333
1380,235.76606114705405,100.0
1410,1609.4402313232422,86.66666666666667
1440,1534.9786758422852,86.66666666666667
1470,925.6948947906494,93.33333333333333
1500,949.7164090474447,93.33333333333333
1530,366.41028722127277,100.0
1560,271.8891143798828,100.0
1590,273.5517342885335,100.0
1620,316.67321523030597,100.0
1650,305.01173337300617,100.0
1680,258.0898602803548,100.0
1710,312.11288770039874,100.0
1740,286.5488052368164,100.0
1770,259.2497666676839,100.0
1800,7441.217597325643,53.333333333333336
1830,5672.104295094808,66.66666666666666
1860,7667.442003885905,53.333333333333336
1890,4446.1297035217285,66.66666666666666
1920,5438.132222493489,60.0
1950,5672.113720575969,60.0
1980,5403.771018981934,60.0
2010,6260.4922612508135,60.0
2040,7880.519421895345,46.666666666666664
2070,6414.960956573486,66.66666666666666
2100,460.70032119750977,100.0
2130,258.23742548624676,100.0
2160,265.729554494222,100.0
2190,287.56616910298663,100.0
2220,316.6378339131673,100.0
2250,263.9764467875163,100.0
2280,229.10221417744955,100.0
2310,268.96228790283203,100.0
2340,243.56640179951987,100.0
2370,309.2004458109538,100.0
