start_time,response_time,success_rate
0,451.40228271484375,100.0
30,390.08291562398273,100.0
60,375.1419146855672,100.0
90,379.3672402699788,100.0
120,366.45527680714923,100.0
150,343.3723529179891,100.0
180,351.48015817006427,100.0
210,335.5120897293091,100.0
240,269.99111970265704,100.0
270,392.99103418986004,100.0
300,410.08912722269696,100.0
330,356.15344047546387,100.0
360,359.82671578725177,100.0
390,367.0748472213745,100.0
420,384.2057704925537,100.0
450,371.0412820180257,100.0
480,393.02745660146076,100.0
510,381.816824277242,100.0
540,396.7042366663615,100.0
570,345.8157221476237,100.0
600,4863.397248586019,53.333333333333336
630,6135.910518964131,40.0
660,2971.466342608134,73.33333333333333
690,1935.3766043980916,83.33333333333334
720,2884.2498302459717,73.33333333333333
750,1593.6431725819905,86.66666666666667
780,1392.5662676493328,90.0
810,3327.6337146759033,70.0
840,1388.6444489161174,90.0
870,1697.243618965149,86.66666666666667
900,706.0944318771362,96.66666666666667
930,311.1168146133423,100.0
960,347.53583272298175,100.0
990,282.3972702026367,100.0
1020,351.412836710612,100.0
1050,313.08910846710205,100.0
1080,333.9063088099162,100.0
1110,348.0479876200358,100.0
1140,331.08567396799725,100.0
1170,327.56887276967365,100.0
1200,3529.1835387547812,66.66666666666666
1230,2546.2793747584024,76.66666666666667
1260,969.0460761388143,93.33333333333333
1290,2578.5590171813965,76.66666666666667
1320,1279.6639283498127,90.0
1350,1270.2141761779785,90.0
1380,2541.844113667806,76.66666666666667
1410,2222.1093575159707,80.0
1440,2809.8321994145713,73.33333333333333
1470,2196.1461385091147,80.0
1500,266.46889050801593,100.0
1530,280.7650645573934,100.0
1560,314.32732741038006,100.0
1590,325.64856211344403,100.0
1620,325.8425712585449,100.0
1650,324.58531856536865,100.0
1680,345.39658228556317,100.0
1710,290.7202164332072,100.0
1740,300.107216835022,100.0
1770,754.4916311899821,96.66666666666667
1800,5902.98228263855,43.333333333333336
1830,5536.190994580586,46.666666666666664
1860,6856.4440329869585,33.33333333333333
1890,7283.0289125442505,30.0
1920,6799.5395342508955,33.33333333333333
1950,6219.839342435201,40.0
1980,6277.6588678359985,40.0
2010,7573.957419395447,26.666666666666668
2040,6900.708595911662,33.33333333333333
2070,7654.811477661133,33.33333333333333
2100,433.58573118845624,100.0
2130,315.3551657994588,100.0
2160,281.70003096262616,100.0
2190,211.2898826599121,100.0
2220,237.53008047739664,100.0
2250,215.36498069763184,100.0
2280,265.7129844029744,100.0
2310,293.615984916687,100.0
2340,294.22885576883954,100.0
2370,321.82098229726154,100.0
