start_time,response_time,success_rate
0,381.24945163726807,100.0
30,332.43338108062744,100.0
60,315.8170175552368,100.0
90,305.84426403045654,100.0
120,361.3525724411011,100.0
150,329.991135597229,100.0
180,322.7010726928711,100.0
210,296.7193937301636,100.0
240,257.2416162490845,100.0
270,272.30515480041504,100.0
300,269.3395233154297,100.0
330,301.14975929260254,100.0
360,304.52019214630127,100.0
390,314.3549633026123,100.0
420,302.8671360015869,100.0
450,361.5326690673828,100.0
480,318.3680534362793,100.0
510,328.01551818847656,100.0
540,213.63656044006348,100.0
570,183.11703205108643,100.0
600,3940.592441558838,62.0
630,3752.3280000686646,64.0
660,3565.1898336410522,66.0
690,3180.949034690857,70.0
720,1599.3553066253662,86.0
750,1826.6821098327637,84.0
780,2214.8453044891357,80.0
810,1035.349235534668,92.0
840,1034.1957664489746,92.0
870,1399.8521900177002,88.0
900,256.7311763763428,100.0
930,217.13660717010498,100.0
960,200.3868007659912,100.0
990,210.38794994354248,100.0
1020,216.23523712158203,100.0
1050,244.40273761749268,100.0
1080,193.77466201782227,100.0
1110,199.77406978607178,100.0
1140,196.3408660888672,100.0
1170,416.763973236084,98.0
1200,1361.6079092025757,88.0
1230,2147.9442977905273,80.0
1260,1162.176914215088,90.0
1290,1357.688856124878,88.0
1320,1949.9171161651611,82.0
1350,2527.4249362945557,76.0
1380,2920.628147125244,72.0
1410,1170.219693183899,90.0
1440,2539.0213441848755,76.0
1470,1361.1424255371094,88.0
1500,207.42690086364746,100.0
1530,193.69877815246582,100.0
1560,195.69297790527344,100.0
1590,188.48966598510742,100.0
1620,186.30169868469238,100.0
1650,232.97600746154785,100.0
1680,207.462797164917,100.0
1710,183.9299440383911,100.0
1740,172.3067569732666,100.0
1770,593.7398910522461,96.0
1800,7448.227634429932,26.0
1830,6461.511631011963,36.0
1860,6859.7521686553955,32.0
1890,5675.329990386963,44.0
1920,6666.390042304993,34.0
1950,8234.809036254883,18.0
1980,7437.006220817566,26.0
2010,7249.943675994873,28.000000000000004
2040,6856.387786865234,32.0
2070,5932.533459663391,48.0
2100,309.4264841079712,100.0
2130,188.09935569763184,100.0
2160,188.0926513671875,100.0
2190,209.73532676696777,100.0
2220,192.54706382751465,100.0
2250,220.69836139678955,100.0
2280,199.85056400299072,100.0
2310,180.03993034362793,100.0
2340,168.94603729248047,100.0
2370,196.19033813476562,100.0
