start_time,response_time,success_rate
0,191.61231994628906,100.0
30,197.56491661071777,100.0
60,164.42825317382812,100.0
90,140.8809471130371,100.0
120,155.2676820755005,100.0
150,143.2860517501831,100.0
180,138.58157634735107,100.0
210,133.82214546203613,100.0
240,141.13125324249268,100.0
270,160.04220485687256,100.0
300,155.17808437347412,100.0
330,168.68911266326904,100.0
360,169.15475845336914,100.0
390,139.87096309661865,100.0
420,165.7421588897705,100.0
450,155.53689002990723,100.0
480,151.98666095733643,100.0
510,137.5285291671753,100.0
540,123.49246978759766,100.0
570,130.23508548736572,100.0
600,4251.092138290405,60.0
630,1941.80242061615,82.0
660,2507.8960037231445,76.0
690,2515.8565425872803,76.0
720,1899.1920852661133,82.0
750,2894.3215656280518,72.0
780,3104.329171180725,70.0
810,1341.3894271850586,88.0
840,2145.419306755066,80.0
870,1935.2975225448608,82.0
900,339.8492670059204,98.0
930,114.50016975402832,100.0
960,116.40459537506104,100.0
990,105.0628137588501,100.0
1020,121.87469005584717,100.0
1050,110.41471004486084,100.0
1080,108.2676649093628,100.0
1110,121.671142578125,100.0
1140,123.09835910797119,100.0
1170,328.77363204956055,98.0
1200,5454.728398323059,46.0
1230,3085.05615234375,70.0
1260,3277.329134941101,68.0
1290,4066.180577278137,60.0
1320,3473.6301231384277,66.0
1350,4456.8962144851685,56.00000000000001
1380,3868.4680318832397,62.0
1410,3669.966435432434,64.0
1440,4658.800377845764,54.0
1470,3385.6724882125854,70.0
1500,4960.968618392944,100.0
1530,7794.661450386047,68.0
1560,9035.17156124115,54.0
1590,9081.738696098328,38.0
1620,9521.915559768677,26.0
1650,9866.286187171936,14.000000000000002
1680,9679.116530418396,22.0
1710,9824.634046554565,16.0
1740,9861.469511985779,10.0
1770,9626.075615882874,26.0
