time,NIFL-GTGA,NIFL,Nautilus,LC,round-robin,NIFL-GTGA,NIFL,Nautilus,LC,round-robin
0.0,273.1882429122925,230.937180519104,384.30309295654297,235.38727283477783,221.86326503753662,100.0,100.0,100.0,100.0,100.0
2.5,104.90444660186768,165.96169471740723,335.65160751342773,173.6617088317871,210.65100193023682,100.0,100.0,100.0,100.0,100.0
5.0,125.56296348571777,135.47037601470947,268.6623811721802,227.71924018859863,239.3095350265503,100.0,100.0,100.0,100.0,100.0
7.5,106.68299674987793,159.6987009048462,353.12804222106934,182.55836963653564,214.09160614013672,100.0,100.0,100.0,100.0,100.0
9.5,109.27524089813232,377.7907180786133,192.3756504058838,158.84363174438477,210.06231307983398,100.0,98.0,100.0,100.0,100.0
10.5,3218.0044317245483,871.1403369903564,5145.729184150696,4888.669238090515,4511.94128036499,70.0,94.0,50.0,52.0,56.00000000000001
11.5,255.01254558563232,220.19314765930176,2036.0327672958374,4694.257001876831,4925.106682777405,100.0,100.0,82.0,54.0,52.0
12.5,289.1627788543701,360.8415365219116,2452.4636220932007,3929.496054649353,4717.239308357239,100.0,100.0,78.0,62.0,54.0
13.5,232.9673433303833,275.3477430343628,852.6340866088867,3907.0346307754517,4712.911605834961,100.0,100.0,94.0,62.0,54.0
14.5,250.72818279266357,411.9462060928345,1200.658459663391,5286.422667503357,5502.640066146851,100.0,100.0,90.0,48.0,46.0
15.5,129.8829746246338,166.18284225463867,259.365291595459,186.3616132736206,202.72122859954834,100.0,100.0,100.0,100.0,100.0
17.5,106.40441417694092,153.63028526306152,265.391001701355,155.28399467468262,220.20413398742676,100.0,100.0,100.0,100.0,100.0
19.5,318.86635303497314,166.32264137268066,245.88356971740723,149.23596382141113,201.73322200775146,98.0,100.0,100.0,100.0,100.0
20.5,116.907958984375,166.83874607086182,1191.1862182617188,2329.0787744522095,1965.726237297058,100.0,100.0,90.0,78.0,82.0
21.5,105.01838207244873,284.0734815597534,2162.125234603882,2115.638928413391,1746.9920301437378,100.0,100.0,80.0,80.0,84.0
22.5,103.80758285522461,156.5074586868286,1347.3035764694214,1331.085696220398,2532.7630853652954,100.0,100.0,88.0,88.0,76.0
23.5,96.4696741104126,132.53186225891113,2149.10165309906,1719.9817419052124,1555.9071159362793,100.0,100.0,80.0,84.0,86.0
24.5,99.09066200256348,143.32276344299316,1410.3946828842163,1716.2440204620361,1966.8006324768066,100.0,100.0,88.0,84.0,82.0
25.5,100.3138256072998,158.70700359344482,188.30499172210693,170.15851974487305,171.39536380767822,100.0,100.0,100.0,100.0,100.0
27.5,102.33419418334961,234.51056480407715,206.00040912628174,151.5834379196167,209.3391227722168,100.0,100.0,100.0,100.0,100.0
29.5,696.7986392974854,687.1711826324463,586.7444467544556,817.1863698959351,966.2023401260376,94.0,96.0,96.0,94.0,92.0
30.5,1278.7073755264282,2948.7137365341187,6277.953310012817,6850.152940750122,6260.6633949279785,88.0,72.0,38.0,32.0,38.0
31.5,1684.86909866333,1383.4538984298706,5679.922170639038,7052.67849445343,6652.7555894851685,88.0,88.0,44.0,30.0,34.0
32.5,479.8596429824829,2166.070203781128,7257.187738418579,6054.943871498108,6455.497465133667,96.0,80.0,28.000000000000004,40.0,36.0
33.5,948.0924129486084,4152.999711036682,7636.7379903793335,7047.281913757324,6654.251265525818,92.0,60.0,24.0,30.0,34.0
34.5,967.8268003463745,2628.9511489868164,7155.7838344573975,5308.925218582153,7013.325772285461,92.0,80.0,38.0,57.99999999999999,40.0
35.5,80.75404644012451,129.95880603790283,194.88361835479736,173.21796894073486,171.61617755889893,100.0,100.0,100.0,100.0,100.0
37.5,83.72782230377197,213.74052047729492,203.98760318756104,165.32588005065918,179.06742572784424,100.0,100.0,100.0,100.0,100.0
39.5,89.1484022140503,172.94928550720215,193.1251573562622,167.05363273620605,194.33727264404297,100.0,100.0,100.0,100.0,100.0
