start_time,response_time,success_rate
0,229.59012508392334,100.0
30,212.8764533996582,100.0
60,199.78105545043945,100.0
90,205.75323104858398,100.0
120,193.8351058959961,100.0
150,217.20043659210205,100.0
180,202.65997409820557,100.0
210,197.88455963134766,100.0
240,223.3556365966797,100.0
270,237.67675876617432,100.0
300,242.6948642730713,100.0
330,235.93156337738037,100.0
360,196.11169815063477,100.0
390,211.47563934326172,100.0
420,236.10371112823486,100.0
450,245.62975883483887,100.0
480,206.24817848205566,100.0
510,206.91153049468994,100.0
540,244.99372959136963,100.0
570,210.4909324645996,100.0
600,4323.155031204224,57.99999999999999
630,4521.295428276062,56.00000000000001
660,4915.59202671051,52.0
690,5106.501879692078,50.0
720,4325.447449684143,57.99999999999999
750,4927.454047203064,52.0
780,4900.888986587524,52.0
810,4526.001329421997,56.00000000000001
840,4731.462535858154,54.0
870,3722.483024597168,64.0
900,631.9909572601318,96.0
930,219.02868747711182,100.0
960,193.53131771087646,100.0
990,209.1865348815918,100.0
1020,215.8324384689331,100.0
1050,202.10834980010986,100.0
1080,199.2495059967041,100.0
1110,200.27913093566895,100.0
1140,205.43977737426758,100.0
1170,391.92145347595215,98.0
1200,1372.9435396194458,88.0
1230,1952.4196767807007,82.0
1260,1356.627697944641,88.0
1290,1948.484148979187,82.0
1320,1550.3540325164795,86.0
1350,1546.8451499938965,86.0
1380,2340.903010368347,78.0
1410,2133.592462539673,80.0
1440,2534.547724723816,76.0
1470,2209.344062805176,80.0
1500,226.58818244934082,100.0
1530,180.09652137756348,100.0
1560,172.15611934661865,100.0
1590,191.19832515716553,100.0
1620,173.73669624328613,100.0
1650,201.17619037628174,100.0
1680,183.0886745452881,100.0
1710,186.06282234191895,100.0
1740,177.19629287719727,100.0
1770,964.2447519302368,92.0
1800,6878.925142288208,32.0
1830,7049.665751457214,30.0
1860,6655.451555252075,34.0
1890,7443.072562217712,26.0
1920,7443.345103263855,26.0
1950,6845.336408615112,32.0
1980,7238.2306480407715,28.000000000000004
2010,6857.465858459473,32.0
2040,5303.8580322265625,48.0
2070,5254.580736160278,57.99999999999999
2100,200.27445316314697,100.0
2130,184.4209337234497,100.0
2160,181.56330108642578,100.0
2190,168.71051788330078,100.0
2220,190.7271146774292,100.0
2250,176.23578548431396,100.0
2280,181.95131301879883,100.0
2310,183.08050632476807,100.0
2340,173.44317436218262,100.0
2370,165.77831745147705,100.0
