time,NIFL-GTGA,NIFL,Nautilus,LC,round-robin,NIFL-GTGA,NIFL,Nautilus,LC,round-robin
0.0,51.790533257270376,109.5173299905126,55.92991848447995,84.36132656905671,76.2440182973124,100.0,100.0,100.0,100.0,100.0
2.5,88.55558239645127,89.41171125036242,59.34706039397254,95.81630872166457,100.17832239736173,100.0,100.0,100.0,100.0,100.0
5.0,67.99453326883972,119.15935371457206,45.78255483520349,91.53162662594073,85.85837037892816,100.0,100.0,100.0,100.0,100.0
7.5,42.92006024340066,121.69893904040994,49.839767557910704,112.00852571589164,102.39421730017551,100.0,100.0,100.0,100.0,100.0
9.5,70.44063590022435,18.187510960136173,83.59618915066724,108.80712707596527,83.65768336951129,100.0,60.0,100.0,100.0,100.0
10.5,62.655143354697636,48.07784443486362,50.935693436897104,64.64775219037436,52.066680893555294,70.0,70.0,50.0,60.0,40.0
11.5,68.47410424760145,69.67562450970601,72.52727230030762,46.894777672009226,50.1131231991194,100.0,100.0,80.0,60.0,50.0
12.5,47.58405970383424,54.27122049786917,46.97879285116307,71.18508466331171,43.885603099696844,100.0,100.0,80.0,60.0,60.0
13.5,47.96860141736784,39.98603436500757,65.56422014776538,67.58828156995041,40.728543927265875,100.0,100.0,70.0,50.0,50.0
14.5,54.1412633857801,5.62812375876994,59.55795304429574,39.01855310250717,42.136155250994285,100.0,80.0,90.0,40.0,50.0
15.5,67.96394039159597,84.44496150448863,80.94039166429002,100.25470483013221,125.32693546724117,100.0,100.0,100.0,100.0,100.0
17.5,52.8465487587833,87.7986757764836,79.06460321427637,97.47569019823624,108.49202591614997,100.0,100.0,100.0,100.0,100.0
19.5,84.64996958009604,114.06074870720515,116.57755924971771,127.04472422283857,73.87135529699307,100.0,100.0,100.0,100.0,100.0
20.5,96.9990088147618,58.050090424977626,103.47201448647786,98.00749160941712,86.71649209102772,100.0,100.0,70.0,80.0,70.0
21.5,61.11475847996892,82.27179052112767,58.96630884289431,77.20528143595922,90.50429804484739,100.0,100.0,60.0,80.0,70.0
22.5,30.55692892788455,86.00540497215015,79.02586392830722,111.62355464954462,95.77090882549064,100.0,100.0,50.0,70.0,90.0
23.5,92.25502864643275,57.394465028892036,65.26186823362477,109.11461345256097,84.07173966847725,100.0,100.0,50.0,60.0,60.0
24.5,55.45258562114767,90.25702192310408,84.08487154348315,85.84461215487718,107.6863475675541,100.0,100.0,60.0,80.0,90.0
25.5,72.61361007486387,71.42687541080693,99.27821507580694,105.46564159469463,71.48708819600566,100.0,100.0,100.0,100.0,100.0
27.5,65.07471636660782,82.0731758024626,95.97531428666551,97.2447168840373,102.19313323539657,100.0,100.0,100.0,100.0,100.0
29.5,69.00005717733609,91.49480059854051,89.01083433950018,96.52800727780308,88.55862133884125,100.0,100.0,90.0,100.0,100.0
30.5,46.41270775648168,90.28184613715783,48.305795399987616,0.0,34.49904277364094,50.0,60.0,20.0,0.0,20.0
31.5,10.095948145998387,69.88438563495214,0.0,26.58713424857789,14.06160194703094,20.0,50.0,0.0,20.0,10.0
32.5,36.25176830589814,13.926636911203392,0.0,0.0,59.51065686862745,40.0,10.0,0.0,0.0,30.0
33.5,46.788016744122885,19.00978702271853,0.0,60.76636623160782,1.555785748061254,60.0,20.0,0.0,40.0,10.0
34.5,13.9272331520336,27.231409891614515,36.711631090984355,70.28826143187298,24.038544360064694,50.0,50.0,30.0,50.0,60.0
35.5,64.6773529039751,62.27415412557177,105.70175084274993,132.55455395918563,59.43139489034151,100.0,100.0,100.0,100.0,100.0
37.5,48.49802272951971,56.69405692425378,83.23955259843615,101.85166482237284,65.61672460261974,100.0,100.0,100.0,100.0,100.0
39.5,74.46867336983733,10.49932821326248,107.52150202354737,125.47040342694886,107.09096478324673,100.0,100.0,100.0,100.0,100.0
