start_time,response_time,success_rate
0,117.09500551223755,100.0
30,113.86339902877808,100.0
60,114.42487955093384,100.0
90,98.31294059753418,100.0
120,91.50176525115967,100.0
150,85.54038286209106,100.0
180,86.69163942337036,100.0
210,78.57078313827515,100.0
240,75.78203201293945,100.0
270,73.99757385253906,100.0
300,69.78336095809937,100.0
330,76.19916915893555,100.0
360,76.70978784561157,100.0
390,77.32426643371582,100.0
420,70.75676918029785,100.0
450,74.31591510772705,100.0
480,76.69191837310791,100.0
510,74.76786613464355,100.0
540,73.79302024841309,100.0
570,169.70081090927124,99.0
600,1957.527985572815,81.0
630,1364.9574089050293,87.0
660,1066.4129495620728,90.0
690,1064.1220664978027,90.0
720,1277.10205078125,88.0
750,370.0823402404785,97.0
780,861.8918132781982,92.0
810,863.612949848175,92.0
840,468.985915184021,96.0
870,271.1697745323181,98.0
900,173.40279579162598,99.0
930,74.49190378189087,100.0
960,75.86219787597656,100.0
990,71.65564775466919,100.0
1020,72.66839504241943,100.0
1050,72.58867502212524,100.0
1080,64.95207071304321,100.0
1110,71.31718158721924,100.0
1140,75.07882595062256,100.0
1170,570.2138900756836,95.0
1200,3946.2315464019775,61.0
1230,4942.012310028076,51.0
1260,4638.268558979034,54.0
1290,3745.7310152053833,63.0
1320,4935.3903794288635,51.0
1350,4837.042560577393,52.0
1380,4736.210312843323,53.0
1410,4739.000594615936,53.0
1440,3548.136475086212,65.0
1470,4267.095191478729,57.99999999999999
1500,75.82097291946411,100.0
1530,72.67969846725464,100.0
1560,73.25907707214355,100.0
1590,70.18792152404785,100.0
1620,75.87909936904907,100.0
1650,68.81312847137451,100.0
1680,75.40560722351074,100.0
1710,84.95426893234253,100.0
1740,75.38836479187012,100.0
1770,525.4582858085632,98.0
1800,1899.326868057251,86.0
1830,2216.5722823143005,84.0
1860,2547.5197076797485,82.0
1890,2832.4232244491577,77.0
1920,2708.124635219574,80.0
1950,2719.991865158081,78.0
1980,2660.3212428092957,79.0
2010,3414.612944126129,74.0
2040,3285.610954761505,73.0
2070,2459.5968651771545,85.0
2100,75.11924505233765,100.0
2130,76.06049060821533,100.0
2160,82.34935760498047,100.0
2190,76.2265682220459,100.0
2220,83.11661005020142,100.0
2250,79.13057804107666,100.0
2280,74.4862961769104,100.0
2310,73.66661548614502,100.0
2340,72.03616619110107,100.0
2370,69.30877923965454,100.0
