time,NIFL-GTGA,NIFL,Nautilus,LC,round-robin,NIFL-GTGA,NIFL,Nautilus,LC,round-robin
0.0,85.52215814590454,73.08800458908081,117.98134326934814,94.29632425308228,88.27931642532349,100.0,100.0,100.0,100.0,100.0
2.5,77.74839401245117,51.90744638442993,86.00383996963501,70.938720703125,82.83704042434692,100.0,100.0,100.0,100.0,100.0
5.0,75.20566463470459,53.65525007247925,80.43854713439941,77.25881099700928,85.61765909194946,100.0,100.0,100.0,100.0,100.0
7.5,71.21040344238281,52.9433274269104,81.20474338531494,74.48111057281494,85.3644323348999,100.0,100.0,100.0,100.0,100.0
9.5,73.78863096237183,249.48092222213745,271.4988136291504,172.14883089065552,286.5051221847534,100.0,98.0,98.0,99.0,98.0
10.5,759.4317650794983,1144.5298433303833,1263.5898232460022,1859.5815968513489,1667.021279335022,93.0,89.0,88.0,82.0,84.0
11.5,86.05257511138916,50.576205253601074,867.6743841171265,1559.7777128219604,1860.0620293617249,100.0,100.0,92.0,85.0,82.0
12.5,94.22097444534302,51.02293014526367,273.251268863678,1763.3833980560303,1369.3217730522156,100.0,100.0,98.0,83.0,87.0
13.5,74.20336961746216,50.15768051147461,576.2155103683472,1266.1690306663513,1071.9773435592651,100.0,100.0,95.0,88.0,90.0
14.5,66.21547937393188,47.911550998687744,570.5135488510132,1190.7259392738342,2061.0467004776,100.0,100.0,95.0,89.0,80.0
15.5,67.70160913467407,51.938345432281494,75.31718492507935,77.6322078704834,79.34913635253906,100.0,100.0,100.0,100.0,100.0
17.5,55.30498743057251,47.15832710266113,76.44665241241455,72.32739448547363,83.87741327285767,100.0,100.0,100.0,100.0,100.0
19.5,649.970371723175,943.3912086486816,566.4201760292053,468.8703751564026,574.9213171005249,94.0,91.0,95.0,96.0,95.0
20.5,66.12977504730225,57.89668798446655,4934.718592166901,4637.495169639587,4540.39213180542,100.0,100.0,51.0,54.0,55.00000000000001
21.5,58.513641357421875,59.91680860519409,3747.280068397522,4045.602843761444,4447.940058708191,100.0,100.0,63.0,60.0,56.00000000000001
22.5,58.131840229034424,62.22029209136963,4942.00056552887,4142.439811229706,4544.524009227753,100.0,100.0,51.0,59.0,55.00000000000001
23.5,54.90168809890747,54.86936569213867,4435.969512462616,4638.590571880341,3947.263994216919,100.0,100.0,56.00000000000001,54.0,61.0
24.5,53.956944942474365,55.5190634727478,4844.4852113723755,4342.02431678772,4308.416481018066,100.0,100.0,52.0,56.99999999999999,57.99999999999999
25.5,54.53274488449097,54.07921075820923,74.20968770980835,72.09554195404053,75.30765295028687,100.0,100.0,100.0,100.0,100.0
27.5,59.00599956512451,57.918503284454346,73.28569173812866,70.08398532867432,78.07320833206177,100.0,100.0,100.0,100.0,100.0
29.5,1554.5441031455994,547.8784084320068,967.414722442627,669.2734432220459,869.206166267395,85.0,95.0,91.0,94.0,92.0
30.5,449.3521785736084,864.9816417694092,4736.249282360077,4831.702206134796,5161.604928970337,98.0,93.0,53.0,55.00000000000001,50.0
31.5,56.07714653015137,759.2213678359985,3443.19020986557,5504.707944393158,4926.268832683563,100.0,96.0,71.0,47.0,52.0
32.5,55.342068672180176,587.2630023956299,3357.5741958618164,4984.154922962189,4375.613565444946,100.0,99.0,68.0,52.0,60.0
33.5,398.88654947280884,872.9518723487854,4336.612386703491,4925.346210002899,4930.456972122192,97.0,94.0,56.99999999999999,52.0,54.0
34.5,56.425344944000244,889.9300074577332,3903.603549003601,4823.811402320862,4203.5914969444275,100.0,95.0,70.0,59.0,66.0
35.5,51.9104528427124,46.47979736328125,73.55339527130127,69.36177015304565,78.81214618682861,100.0,100.0,100.0,100.0,100.0
37.5,53.76692771911621,63.64001512527466,77.76885032653809,71.73644542694092,80.18492460250854,100.0,100.0,100.0,100.0,100.0
39.5,55.79212188720703,46.88254117965698,72.55373954772949,68.48685503005981,83.44451904296875,100.0,100.0,100.0,100.0,100.0
