start_time,response_time,success_rate
0,88.27931642532349,100.0
30,89.93111610412598,100.0
60,88.13113689422607,100.0
90,81.88155889511108,100.0
120,92.27214813232422,100.0
150,82.83704042434692,100.0
180,81.18463516235352,100.0
210,81.2874436378479,100.0
240,87.78036594390869,100.0
270,90.50651550292969,100.0
300,85.61765909194946,100.0
330,92.41745948791504,100.0
360,86.81668758392334,100.0
390,84.8132872581482,100.0
420,83.9271068572998,100.0
450,85.3644323348999,100.0
480,80.21867513656616,100.0
510,89.30027723312378,100.0
540,86.76712274551392,100.0
570,286.5051221847534,98.0
600,1564.1326451301575,85.0
630,1667.021279335022,84.0
660,1763.9364266395569,83.0
690,1860.0620293617249,82.0
720,1959.8160862922668,81.0
750,1369.3217730522156,87.0
780,1665.587990283966,84.0
810,1071.9773435592651,90.0
840,2161.965916156769,79.0
870,2061.0467004776,80.0
900,81.51757478713989,100.0
930,79.34913635253906,100.0
960,80.88068008422852,100.0
990,80.69151163101196,100.0
1020,82.66483545303345,100.0
1050,83.87741327285767,100.0
1080,81.51562213897705,100.0
1110,78.02515983581543,100.0
1140,75.84242820739746,100.0
1170,574.9213171005249,95.0
1200,4641.605288982391,54.0
1230,4540.39213180542,55.00000000000001
1260,4742.017488479614,53.0
1290,4447.940058708191,56.00000000000001
1320,4640.961129665375,54.0
1350,4544.524009227753,55.00000000000001
1380,4547.322919368744,55.00000000000001
1410,3947.263994216919,61.0
1440,4638.000266551971,54.0
1470,4308.416481018066,57.99999999999999
1500,76.43842220306396,100.0
1530,75.30765295028687,100.0
1560,80.50603151321411,100.0
1590,85.03838777542114,100.0
1620,78.73387098312378,100.0
1650,78.07320833206177,100.0
1680,76.28133773803711,100.0
1710,72.54968643188477,100.0
1740,77.90812492370605,100.0
1770,869.206166267395,92.0
1800,4909.955704212189,55.00000000000001
1830,5161.604928970337,50.0
1860,5412.323081493378,49.0
1890,4926.268832683563,52.0
1920,5365.743684768677,47.0
1950,4375.613565444946,60.0
1980,5628.443658351898,44.0
2010,4930.456972122192,54.0
2040,4882.824776172638,52.0
2070,4203.5914969444275,66.0
2100,75.61649799346924,100.0
2130,78.81214618682861,100.0
2160,79.06698703765869,100.0
2190,82.5911545753479,100.0
2220,81.04988813400269,100.0
2250,80.18492460250854,100.0
2280,80.86313724517822,100.0
2310,81.08027935028076,100.0
2340,83.16646099090576,100.0
2370,83.44451904296875,100.0
